60.0,30,0,0,0,0,0,0,0,1374,0.5,0.18333333333333332,41.850000000000001,1141.0636438000004,3.40000000000155e-06,0.0
15.500124,-,[1322],0,rejected,no,38,0
15.541791,-,[1259],0,rejected,no,39,0
15.583458,-,[422],0,rejected,no,41,0
15.625125,-,[1320],0,rejected,no,42,0
15.666792,-,[1444],0,rejected,no,43,0
15.708459,-,[464],0,rejected,no,45,0
15.750126,-,[1445],0,rejected,no,46,0
15.791793,-,[1370],0,rejected,no,47,0
15.83346,-,[229],0,rejected,no,51,0
15.875127,-,[84],0,rejected,no,53,0
15.916794,-,[1318],0,rejected,no,54,0
15.958461,-,[248],0,rejected,no,56,0
16.000128,-,[1225],0,rejected,no,57,0
16.041795,-,[1297],0,rejected,no,58,0
16.083462,-,[349],0,rejected,no,60,0
16.125129,-,[1456],0,rejected,no,61,0
16.166796,-,[1320],0,rejected,no,62,0
16.333464,-,[205],0,rejected,no,64,0
16.375131,-,[1012],0,rejected,no,65,0
16.416798,-,[1046],0,rejected,no,66,0
16.458465,-,[262],0,rejected,no,70,0
16.500132,-,[120],0,rejected,no,72,0
16.541799,-,[425],0,rejected,no,74,0
16.583466,-,[1064],0,rejected,no,78,0
16.625133,-,[192],0,rejected,no,80,0
16.750134,-,[270],0,rejected,no,82,0
16.791801,-,[393],0,rejected,no,84,0
16.833468,-,[21],0,rejected,no,86,0
16.875135,-,[3],0,rejected,no,88,0
16.916802,-,[338],0,rejected,no,90,0
16.958469,-,[1269],0,rejected,no,91,0
17.000136,-,[1333],0,rejected,no,92,0
17.041803,-,[591],0,rejected,no,96,0
17.08347,-,[1461],0,rejected,no,97,0
17.125137,-,[1425],0,rejected,no,98,0
17.166804,-,[449],0,rejected,no,100,0
17.208471,-,[243],0,rejected,no,102,0
17.250138,-,[57],0,rejected,no,104,0
17.291805,-,[214],0,rejected,no,106,0
17.333472,-,[1447],0,rejected,no,107,0
17.375139,-,[123],0,rejected,no,109,0
17.416806,-,[300],0,rejected,no,111,0
17.458473,-,[1279],0,rejected,no,112,0
17.50014,-,[1130],0,rejected,no,113,0
17.541807,-,[488],0,rejected,no,117,0
